Year,Month,City_encoded,avg_PM25,avg_PM10,avg_NO2,avg_AQI,Day_lag1,Day_lag2,Day_lag3,Night_lag1,Night_lag2,avg_AQI_lag1,Day_roll3,Day_roll6,Day,Night
2015,1,0,30.07,73.44,19.537419354838708,83.0,58.0,65.0,54.0,56.0,56.0,83.0,65.0,62.333333333333336,72.0,63.0
2015,1,0,30.07,73.44,19.537419354838708,83.0,72.0,58.0,65.0,63.0,56.0,83.0,63.0,62.333333333333336,59.0,55.0
2015,1,0,30.07,73.44,19.537419354838708,83.0,59.0,72.0,58.0,55.0,63.0,83.0,66.0,62.5,67.0,61.0
2015,1,0,30.07,73.44,19.537419354838708,83.0,67.0,59.0,72.0,61.0,55.0,83.0,61.666666666666664,63.333333333333336,59.0,57.0
2015,1,0,30.07,73.44,19.537419354838708,83.0,59.0,67.0,59.0,57.0,61.0,83.0,63.0,63.0,63.0,60.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,63.0,59.0,67.0,60.0,57.0,83.0,60.333333333333336,63.166666666666664,59.0,55.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,59.0,63.0,59.0,55.0,60.0,83.0,63.0,62.333333333333336,67.0,59.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,67.0,59.0,63.0,59.0,55.0,83.0,61.0,62.0,57.0,62.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,57.0,67.0,59.0,62.0,59.0,83.0,63.0,61.666666666666664,65.0,57.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,65.0,57.0,67.0,57.0,62.0,83.0,60.333333333333336,61.666666666666664,59.0,56.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,59.0,65.0,57.0,56.0,57.0,83.0,65.33333333333333,63.166666666666664,72.0,63.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,72.0,59.0,65.0,63.0,56.0,83.0,64.0,63.5,61.0,55.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,61.0,72.0,59.0,55.0,63.0,83.0,67.0,63.666666666666664,68.0,61.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,68.0,61.0,72.0,61.0,55.0,83.0,63.0,64.16666666666667,60.0,57.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,83.0,60.0,68.0,61.0,57.0,61.0,83.0,64.0,64.0,64.0,60.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,64.0,60.0,68.0,60.0,57.0,83.0,61.0,64.0,59.0,55.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,59.0,64.0,60.0,55.0,60.0,97.2258064516129,63.333333333333336,63.166666666666664,67.0,60.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,67.0,59.0,64.0,60.0,55.0,97.2258064516129,60.0,62.0,54.0,47.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,54.0,67.0,59.0,47.0,60.0,97.2258064516129,62.0,61.5,65.0,58.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,65.0,54.0,67.0,58.0,47.0,97.2258064516129,59.666666666666664,61.5,60.0,57.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,60.0,65.0,54.0,57.0,58.0,97.2258064516129,65.33333333333333,62.666666666666664,71.0,62.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,71.0,60.0,65.0,62.0,57.0,97.2258064516129,63.666666666666664,62.833333333333336,60.0,54.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,60.0,71.0,60.0,54.0,62.0,97.2258064516129,66.33333333333333,63.0,68.0,61.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,68.0,60.0,71.0,61.0,54.0,97.2258064516129,63.0,64.16666666666667,61.0,57.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,97.2258064516129,61.0,68.0,60.0,57.0,61.0,97.2258064516129,64.33333333333333,64.0,64.0,57.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,64.0,61.0,68.0,57.0,57.0,97.2258064516129,61.0,63.666666666666664,58.0,54.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,58.0,64.0,61.0,54.0,57.0,113.7,63.0,63.0,67.0,61.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,67.0,58.0,64.0,61.0,54.0,113.7,61.0,62.666666666666664,58.0,49.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,58.0,67.0,58.0,49.0,61.0,113.7,63.333333333333336,62.166666666666664,65.0,58.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,65.0,58.0,67.0,58.0,49.0,113.7,61.0,62.0,60.0,57.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,60.0,65.0,58.0,57.0,58.0,113.7,65.66666666666667,63.333333333333336,72.0,63.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,72.0,60.0,65.0,63.0,57.0,113.7,63.666666666666664,63.5,59.0,53.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,59.0,72.0,60.0,53.0,63.0,113.7,66.0,63.5,67.0,61.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,67.0,59.0,72.0,61.0,53.0,113.7,61.666666666666664,63.666666666666664,59.0,55.0
2015,4,0,29.907,73.44,8.877166666666666,113.7,59.0,67.0,59.0,55.0,61.0,113.7,63.0,63.333333333333336,63.0,55.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,63.0,59.0,67.0,55.0,55.0,113.7,60.0,63.0,58.0,55.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,58.0,63.0,59.0,55.0,55.0,102.24193548387096,62.666666666666664,62.166666666666664,67.0,60.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,67.0,58.0,63.0,60.0,55.0,102.24193548387096,62.666666666666664,62.833333333333336,63.0,53.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,63.0,67.0,58.0,53.0,60.0,102.24193548387096,65.0,62.5,65.0,58.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,65.0,63.0,67.0,58.0,53.0,102.24193548387096,62.333333333333336,62.5,59.0,57.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,59.0,65.0,63.0,57.0,58.0,102.24193548387096,65.33333333333333,64.0,72.0,63.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,72.0,59.0,65.0,63.0,57.0,102.24193548387096,63.333333333333336,64.16666666666667,59.0,54.0
2015,5,0,34.58693548387097,73.44,22.28516129032258,102.24193548387096,59.0,72.0,59.0,54.0,63.0,102.24193548387096,65.66666666666667,64.0,66.0,61.0
