Year,Month,avg_PM25,avg_PM10,avg_NO2,avg_SO2,avg_CO,avg_O3,avg_AQI,max_AQI,std_PM25,Day,Night,Season_Post-Monsoon,Season_Summer,Season_Winter,avg_AQI_lag1,avg_AQI_lag2,avg_AQI_lag3,avg_PM25_lag1,avg_PM25_lag2,avg_PM25_lag3,avg_PM10_lag1,avg_PM10_lag2,avg_PM10_lag3,avg_NO2_lag1,avg_NO2_lag2,avg_NO2_lag3,Day_lag1,Day_lag2,Day_lag3,Night_lag1,Night_lag2,Night_lag3,avg_AQI_roll3,avg_AQI_roll6,avg_PM25_roll3,avg_PM25_roll6,Day_roll3,Day_roll6,City_encoded
2015,2,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,0.0,60.0,57.0,False,False,True,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,73.43999999999998,22.62446428571429,22.62446428571429,22.62446428571429,68.0,61.0,72.0,61.0,55.0,63.0,83.0,83.0,30.07,30.07,63.0,64.16666666666667,0
2015,2,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,0.0,64.0,60.0,False,False,True,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,73.43999999999998,22.62446428571429,22.62446428571429,22.62446428571429,60.0,68.0,61.0,57.0,61.0,55.0,83.0,83.0,30.07,30.07,64.0,64.0,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,59.0,55.0,False,True,False,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,73.43999999999998,22.62446428571429,22.62446428571429,22.62446428571429,64.0,60.0,68.0,60.0,57.0,61.0,87.74193548387098,85.37096774193549,31.868064516129035,30.969032258064516,61.0,64.0,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,67.0,60.0,False,True,False,97.2258064516129,83.0,83.0,35.4641935483871,30.07,30.07,73.44,73.43999999999998,73.43999999999998,21.46548387096774,22.62446428571429,22.62446428571429,59.0,64.0,60.0,55.0,60.0,57.0,92.48387096774194,87.74193548387098,33.66612903225806,31.868064516129035,63.333333333333336,63.166666666666664,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,54.0,47.0,False,True,False,97.2258064516129,97.2258064516129,83.0,35.4641935483871,35.4641935483871,30.07,73.44,73.44,73.43999999999998,21.46548387096774,21.46548387096774,22.62446428571429,67.0,59.0,64.0,60.0,55.0,60.0,97.2258064516129,90.11290322580645,35.4641935483871,32.767096774193554,60.0,62.0,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,65.0,58.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,54.0,67.0,59.0,47.0,60.0,55.0,97.2258064516129,92.48387096774194,35.4641935483871,33.66612903225807,62.0,61.5,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,60.0,57.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,65.0,54.0,67.0,58.0,47.0,60.0,97.2258064516129,94.85483870967742,35.4641935483871,34.565161290322585,59.666666666666664,61.5,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,71.0,62.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,60.0,65.0,54.0,57.0,58.0,47.0,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,65.33333333333333,62.666666666666664,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,60.0,54.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,71.0,60.0,65.0,62.0,57.0,58.0,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,63.666666666666664,62.833333333333336,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,68.0,61.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,60.0,71.0,60.0,54.0,62.0,57.0,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,66.33333333333333,63.0,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,61.0,57.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,68.0,60.0,71.0,61.0,54.0,62.0,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,63.0,64.16666666666667,0
2015,3,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,322.0,11.08368769613848,64.0,57.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,61.0,68.0,60.0,57.0,61.0,54.0,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,64.33333333333333,64.0,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,58.0,54.0,False,True,False,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,73.44,21.46548387096774,21.46548387096774,21.46548387096774,64.0,61.0,68.0,57.0,57.0,61.0,102.71720430107526,99.97150537634407,33.61179569892473,34.53799462365592,61.0,63.666666666666664,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,67.0,61.0,False,True,False,113.7,97.2258064516129,97.2258064516129,29.907,35.4641935483871,35.4641935483871,73.44,73.44,73.44,8.877166666666666,21.46548387096774,21.46548387096774,58.0,64.0,61.0,54.0,57.0,57.0,108.20860215053763,102.71720430107526,31.759397849462363,33.61179569892473,63.0,63.0,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,58.0,49.0,False,True,False,113.7,113.7,97.2258064516129,29.907,29.907,35.4641935483871,73.44,73.44,73.44,8.877166666666666,8.877166666666666,21.46548387096774,67.0,58.0,64.0,61.0,54.0,57.0,113.7,105.46290322580644,29.907,32.68559677419355,61.0,62.666666666666664,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,65.0,58.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,58.0,67.0,58.0,49.0,61.0,54.0,113.7,108.20860215053763,29.907,31.759397849462363,63.333333333333336,62.166666666666664,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,60.0,57.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,65.0,58.0,67.0,58.0,49.0,61.0,113.7,110.95430107526882,29.907,30.83319892473118,61.0,62.0,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,72.0,63.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,60.0,65.0,58.0,57.0,58.0,49.0,113.7,113.7,29.907,29.907,65.66666666666667,63.333333333333336,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,59.0,53.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,72.0,60.0,65.0,63.0,57.0,58.0,113.7,113.7,29.907,29.907,63.666666666666664,63.5,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,67.0,61.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,59.0,72.0,60.0,53.0,63.0,57.0,113.7,113.7,29.907,29.907,66.0,63.5,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,59.0,55.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,67.0,59.0,72.0,61.0,53.0,63.0,113.7,113.7,29.907,29.907,61.666666666666664,63.666666666666664,0
2015,4,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,443.0,16.821991588897824,63.0,55.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,59.0,67.0,59.0,55.0,61.0,53.0,113.7,113.7,29.907,29.907,63.0,63.333333333333336,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,58.0,55.0,False,True,False,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,73.44,8.877166666666666,8.877166666666666,8.877166666666666,63.0,59.0,67.0,55.0,55.0,61.0,109.88064516129032,111.79032258064517,31.466978494623657,30.68698924731183,60.0,63.0,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,67.0,60.0,False,True,False,102.24193548387096,113.7,113.7,34.58693548387097,29.907,29.907,73.44,73.44,73.44,22.28516129032258,8.877166666666666,8.877166666666666,58.0,63.0,59.0,55.0,55.0,55.0,106.06129032258065,109.88064516129032,33.02695698924731,31.466978494623657,62.666666666666664,62.166666666666664,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,63.0,53.0,False,True,False,102.24193548387096,102.24193548387096,113.7,34.58693548387097,34.58693548387097,29.907,73.44,73.44,73.44,22.28516129032258,22.28516129032258,8.877166666666666,67.0,58.0,63.0,60.0,55.0,55.0,102.24193548387096,107.9709677419355,34.58693548387097,32.246967741935485,62.666666666666664,62.833333333333336,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,65.0,58.0,False,True,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,63.0,67.0,58.0,53.0,60.0,55.0,102.24193548387096,106.06129032258065,34.58693548387097,33.02695698924731,65.0,62.5,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,59.0,57.0,False,True,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,65.0,63.0,67.0,58.0,53.0,60.0,102.24193548387096,104.1516129032258,34.58693548387097,33.806946236559135,62.333333333333336,62.5,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,72.0,63.0,False,True,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,59.0,65.0,63.0,57.0,58.0,53.0,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,65.33333333333333,64.0,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,59.0,54.0,False,True,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,72.0,59.0,65.0,63.0,57.0,58.0,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,63.333333333333336,64.16666666666667,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,66.0,61.0,False,True,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,59.0,72.0,59.0,54.0,63.0,57.0,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,65.66666666666667,64.0,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,60.0,57.0,False,True,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,66.0,59.0,72.0,61.0,54.0,63.0,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,61.666666666666664,63.5,0
2015,5,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,267.0,26.21437120489256,63.0,57.0,False,True,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,60.0,66.0,59.0,57.0,61.0,54.0,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,63.0,63.166666666666664,0
2015,6,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,257.0,5.779742421391035,58.0,56.0,False,False,False,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,73.44,22.28516129032258,22.28516129032258,22.28516129032258,63.0,60.0,66.0,57.0,57.0,61.0,103.85573476702507,103.04883512544802,29.172123655913975,31.879529569892473,60.333333333333336,63.0,0
2015,6,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,257.0,5.779742421391035,67.0,59.0,False,False,False,107.08333333333331,102.24193548387096,102.24193548387096,18.3425,34.58693548387097,34.58693548387097,73.44,73.44,73.44,14.384333333333334,22.28516129032258,22.28516129032258,58.0,63.0,60.0,56.0,57.0,57.0,105.4695340501792,103.85573476702507,23.757311827956993,29.17212365591398,62.666666666666664,62.166666666666664,0
2015,6,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,257.0,5.779742421391035,60.0,55.0,False,False,False,107.08333333333331,107.08333333333331,102.24193548387096,18.3425,18.3425,34.58693548387097,73.44,73.44,73.44,14.384333333333334,14.384333333333334,22.28516129032258,67.0,58.0,63.0,59.0,56.0,57.0,107.08333333333331,104.66263440860213,18.3425,26.464717741935484,61.666666666666664,62.333333333333336,0
2015,6,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,257.0,5.779742421391035,66.0,58.0,False,False,False,107.08333333333331,107.08333333333331,107.08333333333331,18.3425,18.3425,18.3425,73.44,73.44,73.44,14.384333333333334,14.384333333333334,14.384333333333334,60.0,67.0,58.0,55.0,59.0,56.0,107.08333333333331,105.4695340501792,18.3425,23.757311827956993,64.33333333333333,62.333333333333336,0
2015,6,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,257.0,5.779742421391035,60.0,58.0,False,False,False,107.08333333333331,107.08333333333331,107.08333333333331,18.3425,18.3425,18.3425,73.44,73.44,73.44,14.384333333333334,14.384333333333334,14.384333333333334,66.0,60.0,67.0,58.0,55.0,59.0,107.08333333333331,106.27643369175625,18.3425,21.049905913978495,62.0,62.333333333333336,0
2015,6,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,257.0,5.779742421391035,72.0,64.0,False,False,False,107.08333333333331,107.08333333333331,107.08333333333331,18.3425,18.3425,18.3425,73.44,73.44,73.44,14.384333333333334,14.384333333333334,14.384333333333334,60.0,66.0,60.0,58.0,58.0,55.0,107.08333333333331,107.08333333333331,18.3425,18.3425,66.0,63.833333333333336,0
2015,6,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,257.0,5.779742421391035,60.0,54.0,False,False,False,107.08333333333331,107.08333333333331,107.08333333333331,18.3425,18.3425,18.3425,73.44,73.44,73.44,14.384333333333334,14.384333333333334,14.384333333333334,72.0,60.0,66.0,64.0,58.0,58.0,107.08333333333331,107.08333333333331,18.3425,18.3425,64.0,64.16666666666667,0
