Year,Month,City_encoded,avg_PM25,avg_PM10,avg_NO2,avg_SO2,avg_CO,avg_O3,avg_AQI_lag1,avg_AQI_lag2,avg_AQI_lag3,avg_PM25_lag1,avg_PM25_lag2,avg_PM25_lag3,avg_PM10_lag1,avg_PM10_lag2,avg_AQI_roll3,avg_AQI_roll6,avg_PM25_roll3,avg_PM25_roll6,avg_AQI
2015,1,0,30.07,73.44,19.537419354838708,23.75887096774193,9.05,26.06870967741936,83.0,83.0,83.0,30.07,30.07,30.07,73.44,73.44,83.0,83.0,30.07,30.07,83.0
2015,1,0,30.07,73.44,19.537419354838708,23.75887096774193,9.05,26.06870967741936,83.0,83.0,83.0,30.07,30.07,30.07,73.44,73.44,83.0,83.0,30.07,30.07,83.0
2015,1,0,30.07,73.44,19.537419354838708,23.75887096774193,9.05,26.06870967741936,83.0,83.0,83.0,30.07,30.07,30.07,73.44,73.44,83.0,83.0,30.07,30.07,83.0
2015,1,0,30.07,73.44,19.537419354838708,23.75887096774193,9.05,26.06870967741936,83.0,83.0,83.0,30.07,30.07,30.07,73.44,73.44,83.0,83.0,30.07,30.07,83.0
2015,1,0,30.07,73.44,19.537419354838708,23.75887096774193,9.05,26.06870967741936,83.0,83.0,83.0,30.07,30.07,30.07,73.44,73.44,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.44,73.44,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.44,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,2,0,30.07,73.43999999999998,22.62446428571429,13.547321428571427,3.75875,33.746428571428574,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,83.0,83.0,30.07,30.07,83.0
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,83.0,83.0,83.0,30.07,30.07,30.07,73.43999999999998,73.43999999999998,87.74193548387098,85.37096774193549,31.868064516129035,30.969032258064516,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,83.0,83.0,35.4641935483871,30.07,30.07,73.44,73.43999999999998,92.48387096774194,87.74193548387098,33.66612903225806,31.868064516129035,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,83.0,35.4641935483871,35.4641935483871,30.07,73.44,73.44,97.2258064516129,90.11290322580645,35.4641935483871,32.767096774193554,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,97.2258064516129,92.48387096774194,35.4641935483871,33.66612903225807,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,97.2258064516129,94.85483870967742,35.4641935483871,34.565161290322585,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,97.2258064516129
2015,3,0,35.4641935483871,73.44,21.46548387096774,19.383064516129032,7.702903225806451,40.64387096774194,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,97.2258064516129
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,97.2258064516129,97.2258064516129,97.2258064516129,35.4641935483871,35.4641935483871,35.4641935483871,73.44,73.44,102.71720430107526,99.97150537634407,33.61179569892473,34.53799462365592,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,97.2258064516129,97.2258064516129,29.907,35.4641935483871,35.4641935483871,73.44,73.44,108.20860215053763,102.71720430107526,31.759397849462363,33.61179569892473,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,97.2258064516129,29.907,29.907,35.4641935483871,73.44,73.44,113.7,105.46290322580644,29.907,32.68559677419355,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,113.7,108.20860215053763,29.907,31.759397849462363,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,113.7,110.95430107526882,29.907,30.83319892473118,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,113.7,113.7,29.907,29.907,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,113.7,113.7,29.907,29.907,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,113.7,113.7,29.907,29.907,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,113.7,113.7,29.907,29.907,113.7
2015,4,0,29.907,73.44,8.877166666666666,12.142,3.2431666666666668,47.13483333333333,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,113.7,113.7,29.907,29.907,113.7
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,113.7,113.7,113.7,29.907,29.907,29.907,73.44,73.44,109.88064516129032,111.79032258064517,31.466978494623657,30.68698924731183,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,113.7,113.7,34.58693548387097,29.907,29.907,73.44,73.44,106.06129032258065,109.88064516129032,33.02695698924731,31.466978494623657,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,113.7,34.58693548387097,34.58693548387097,29.907,73.44,73.44,102.24193548387096,107.9709677419355,34.58693548387097,32.246967741935485,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,102.24193548387096,106.06129032258065,34.58693548387097,33.02695698924731,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,102.24193548387096,104.1516129032258,34.58693548387097,33.806946236559135,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,102.24193548387096
2015,5,0,34.58693548387097,73.44,22.28516129032258,6.0720967741935485,5.042258064516129,29.940806451612907,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,102.24193548387096
2015,6,0,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,102.24193548387096,102.24193548387096,102.24193548387096,34.58693548387097,34.58693548387097,34.58693548387097,73.44,73.44,103.85573476702507,103.04883512544802,29.172123655913975,31.879529569892473,107.08333333333331
2015,6,0,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,102.24193548387096,102.24193548387096,18.3425,34.58693548387097,34.58693548387097,73.44,73.44,105.4695340501792,103.85573476702507,23.757311827956993,29.17212365591398,107.08333333333331
2015,6,0,18.3425,73.44,14.384333333333334,6.658,4.972,25.706000000000003,107.08333333333331,107.08333333333331,102.24193548387096,18.3425,18.3425,34.58693548387097,73.44,73.44,107.08333333333331,104.66263440860213,18.3425,26.464717741935484,107.08333333333331
