Model,AQI_MAE,AQI_MSE,AQI_RMSE,AQI_RMSLE,AQI_MAPE,AQI_SMAPE,AQI_R2,AQI_Adj_R2,AQI_Explained_Var,AQI_Max_Error,Day_Accuracy,Day_Precision_macro,Day_Precision_micro,Day_Precision_weighted,Day_Recall_macro,Day_Recall_micro,Day_Recall_weighted,Day_F1_macro,Day_F1_micro,Day_F1_weighted,Day_MCC,Day_Cohen_Kappa,Day_Log_Loss,Day_AUC_ROC,Day_AUC_PR,Day_Brier,Night_Accuracy,Night_Precision_macro,Night_Precision_micro,Night_Precision_weighted,Night_Recall_macro,Night_Recall_micro,Night_Recall_weighted,Night_F1_macro,Night_F1_micro,Night_F1_weighted,Night_MCC,Night_Cohen_Kappa,Night_Log_Loss,Night_AUC_ROC,Night_AUC_PR,Night_Brier
Vanilla-Transformer,8.558663596054565,266.24606223499575,16.31704820839222,0.1294525023914755,8.523157980882269,8.40548879405019,0.9005669711073997,0.8975538490197451,0.9009583860406181,153.12269453568894,0.5282167042889391,0.3051013666955696,0.5282167042889391,0.46743709139430006,0.32204557498675146,0.5282167042889391,0.5282167042889391,0.3007383306219497,0.5282167042889391,0.47993818101797936,-0.035911043449241814,-0.032185061315496144,0.8214797437399964,0.5100134717781776,0.3413201610508434,0.17779157018353073,0.8284424379232506,0.2812260536398467,0.8284424379232506,0.714174515451078,0.32622222222222225,0.8284424379232506,0.8284424379232506,0.3020576131687243,0.8284424379232506,0.7670763314104172,-0.05577057117548672,-0.03238071875383297,0.4723049236125567,0.5626322184655873,0.3624543186209384,0.09055537475155058
Conv-Attn-Transformer,8.709829504510045,249.1370912798261,15.784077143749206,0.12421623382196008,8.70186253621849,8.579846900234738,0.9069565371690623,0.9041370382953975,0.9069653816019837,141.7190995649858,0.5485327313769752,0.26431974858069746,0.5485327313769752,0.41965619559187795,0.31745779392838214,0.5485327313769752,0.5485327313769752,0.2579281808777893,0.5485327313769752,0.4384692544251898,-0.08264159087841061,-0.05026078710289239,0.8288589079027538,0.4992437268652103,0.3251423080436888,0.17950882968294754,0.8216704288939052,0.30703637447823495,0.8216704288939052,0.7257174816364275,0.32787499999999997,0.8216704288939052,0.8216704288939052,0.309279126670431,0.8216704288939052,0.7671808023167332,-0.034586210833630074,-0.0242924459273568,0.47143957824205623,0.6281685596956321,0.3800498295393313,0.09002869075163622
TFT-Simplified,9.976752623753313,399.85270868582603,19.99631737810305,0.15680111113396922,9.829663464248082,9.522431547864986,0.8506698442719116,0.8461446880377271,0.8509285704599492,162.03748945756394,0.5485327313769752,0.24438049560351718,0.5485327313769752,0.39648678348517574,0.3154364448482096,0.5485327313769752,0.5485327313769752,0.24937541091387241,0.5485327313769752,0.4291499147376904,-0.09902111390250609,-0.05498797361339336,0.8566073648163331,0.4507639333086903,0.2898470560514361,0.18803110466976705,0.8397291196388262,0.34901065449010654,0.8397291196388262,0.7459074182875166,0.33498611111111104,0.8397291196388262,0.8397291196388262,0.31388487797921455,0.8397291196388262,0.7767629683363277,0.015045865592006227,0.007134063575239047,0.4877336217315352,0.5190489879604623,0.3318154325704345,0.09310081501249545
